vcf_sample	bed_sample
GTEX-111YS	GTEX-111YS-0006-SM-5NQBE
GTEX-1122O	GTEX-1122O-0005-SM-5O99J
GTEX-1128S	GTEX-1128S-0005-SM-5P9HI
GTEX-113IC	GTEX-113IC-0006-SM-5NQ9C
GTEX-113JC	GTEX-113JC-0006-SM-5O997
GTEX-117XS	GTEX-117XS-0005-SM-5PNU6
GTEX-117YW	GTEX-117YW-0005-SM-5NQ8Z
GTEX-1192W	GTEX-1192W-0005-SM-5NQBQ
GTEX-1192X	GTEX-1192X-0005-SM-5NQC3
GTEX-11DXX	GTEX-11DXX-0005-SM-5NQ8B
GTEX-11DXZ	GTEX-11DXZ-0006-SM-5LZZH
GTEX-11DYG	GTEX-11DYG-0006-SM-5NQB2
GTEX-11EI6	GTEX-11EI6-0005-SM-5N9GN
GTEX-11EM3	GTEX-11EM3-0005-SM-5N9DK
GTEX-11EMC	GTEX-11EMC-0006-SM-5O9DN
GTEX-11EQ8	GTEX-11EQ8-0006-SM-5P9HJ
GTEX-11EQ9	GTEX-11EQ9-0006-SM-5LUB6
GTEX-11GS4	GTEX-11GS4-0006-SM-5SI9M
GTEX-11GSO	GTEX-11GSO-0005-SM-5O9CA
GTEX-11GSP	GTEX-11GSP-0006-SM-5N9EL
GTEX-11I78	GTEX-11I78-0005-SM-5N9GB
GTEX-11LCK	GTEX-11LCK-0005-SM-5O98U
GTEX-11NUK	GTEX-11NUK-0005-SM-5MR5F
GTEX-11NV4	GTEX-11NV4-0005-SM-5N9EX
GTEX-11O72	GTEX-11O72-0006-SM-5O9DB
GTEX-11OF3	GTEX-11OF3-0006-SM-5O9CM
GTEX-11ONC	GTEX-11ONC-0005-SM-5O9CY
GTEX-11P7K	GTEX-11P7K-0006-SM-5N9FM
GTEX-11P81	GTEX-11P81-0006-SM-5NQ7A
GTEX-11P82	GTEX-11P82-0006-SM-5N9FY
GTEX-11PRG	GTEX-11PRG-0005-SM-5NQ6X
GTEX-11TT1	GTEX-11TT1-0005-SM-5NQ8Y
GTEX-11TTK	GTEX-11TTK-0005-SM-5O9BX
GTEX-11TUW	GTEX-11TUW-0006-SM-5LZW2
GTEX-11UD2	GTEX-11UD2-0005-SM-5NQ9B
GTEX-11VI4	GTEX-11VI4-0006-SM-5N9D8
GTEX-11WQC	GTEX-11WQC-0006-SM-5LZVP
GTEX-11WQK	GTEX-11WQK-0005-SM-5O9AV
GTEX-11XUK	GTEX-11XUK-0005-SM-5LU9F
GTEX-11ZTS	GTEX-11ZTS-0005-SM-5NQ8A
GTEX-11ZTT	GTEX-11ZTT-0006-SM-5N9FX
GTEX-11ZU8	GTEX-11ZU8-0005-SM-5PNU5
GTEX-11ZUS	GTEX-11ZUS-0006-SM-5O9AJ
GTEX-11ZVC	GTEX-11ZVC-0006-SM-5N9GA
GTEX-1211K	GTEX-1211K-0006-SM-5MR53
GTEX-12126	GTEX-12126-0006-SM-5O9B8
GTEX-1212Z	GTEX-1212Z-0006-SM-5NQ8M
GTEX-12584	GTEX-12584-0005-SM-5N9GM
GTEX-12696	GTEX-12696-0005-SM-5LZYS
GTEX-1269C	GTEX-1269C-0005-SM-5N9CJ
GTEX-12C56	GTEX-12C56-0006-SM-5N9E9
GTEX-12KS4	GTEX-12KS4-0005-SM-5SI94
GTEX-12WSD	GTEX-12WSD-0005-SM-5N9FZ
GTEX-12WSE	GTEX-12WSE-0005-SM-5NQAE
GTEX-12WSF	GTEX-12WSF-0005-SM-5NQAQ
GTEX-12WSG	GTEX-12WSG-0005-SM-5NQA2
GTEX-12WSH	GTEX-12WSH-0005-SM-5NQ9P
GTEX-12WSI	GTEX-12WSI-0005-SM-5O99K
GTEX-12WSJ	GTEX-12WSJ-0005-SM-5LU8S
GTEX-12WSK	GTEX-12WSK-0006-SM-5NQA1
GTEX-12WSL	GTEX-12WSL-0005-SM-5NQAD
GTEX-12WSM	GTEX-12WSM-0005-SM-5NQB3
GTEX-12WSN	GTEX-12WSN-0006-SM-5NQAP
GTEX-12ZZW	GTEX-12ZZW-0005-SM-5O9BY
GTEX-12ZZX	GTEX-12ZZX-0005-SM-5O9A9
GTEX-13111	GTEX-13111-0005-SM-5NQ7Z
GTEX-13113	GTEX-13113-0006-SM-5NQ7X
GTEX-1313W	GTEX-1313W-0006-SM-5O9B1
GTEX-1314G	GTEX-1314G-0005-SM-5NQ9O
GTEX-131XE	GTEX-131XE-0006-SM-5P9F9
GTEX-131XF	GTEX-131XF-0006-SM-5P9HK
GTEX-131XG	GTEX-131XG-0006-SM-5O9CE
GTEX-131XH	GTEX-131XH-0006-SM-5O98V
GTEX-131XW	GTEX-131XW-0006-SM-5O9AO
GTEX-131YS	GTEX-131YS-0005-SM-5NQAS
GTEX-132AR	GTEX-132AR-0006-SM-5NQ7N
GTEX-132NY	GTEX-132NY-0005-SM-5O9AC
GTEX-132Q8	GTEX-132Q8-0006-SM-5NQA4
GTEX-132QS	GTEX-132QS-0005-SM-5LZXK
GTEX-1339X	GTEX-1339X-0005-SM-5O9CQ
GTEX-1399R	GTEX-1399R-0006-SM-5N9FR
GTEX-1399S	GTEX-1399S-0006-SM-5NQ7U
GTEX-1399U	GTEX-1399U-0005-SM-5NQ8K
GTEX-139D8	GTEX-139D8-0006-SM-5LZX8
GTEX-139T6	GTEX-139T6-0006-SM-5LU92
GTEX-139TS	GTEX-139TS-0005-SM-5NQC1
GTEX-139TT	GTEX-139TT-0006-SM-5O9CG
GTEX-139TU	GTEX-139TU-0006-SM-5LZVN
GTEX-139UW	GTEX-139UW-0005-SM-5NQ8U
GTEX-13CF2	GTEX-13CF2-0006-SM-5O99L
GTEX-13CF3	GTEX-13CF3-0006-SM-5N9ED
GTEX-13CIG	GTEX-13CIG-0006-SM-5P9HF
GTEX-13CZU	GTEX-13CZU-0005-SM-5LU8K
GTEX-13FTW	GTEX-13FTW-0005-SM-5LZVZ
GTEX-13FTX	GTEX-13FTX-0005-SM-5N9F6
GTEX-13FTY	GTEX-13FTY-0005-SM-5NQ78
GTEX-13FTZ	GTEX-13FTZ-0005-SM-5NQ9N
GTEX-13FXS	GTEX-13FXS-0006-SM-5O99X
GTEX-13G51	GTEX-13G51-0005-SM-5N9EP
GTEX-13JUV	GTEX-13JUV-0006-SM-5NQ97
GTEX-13O61	GTEX-13O61-0005-SM-5O9AU
GTEX-13OVG	GTEX-13OVG-0005-SM-5P9HA
GTEX-13OVH	GTEX-13OVH-0005-SM-5P9HB
GTEX-13OVI	GTEX-13OVI-0001-SM-5O9BL
GTEX-13OVJ	GTEX-13OVJ-0006-SM-5O98T
GTEX-13OVK	GTEX-13OVK-0006-SM-5O9B7
GTEX-13OVL	GTEX-13OVL-0006-SM-5O996
GTEX-13OW6	GTEX-13OW6-0005-SM-5NQ9Z
GTEX-13OW8	GTEX-13OW8-0005-SM-5NQAC
GTEX-13PL7	GTEX-13PL7-0005-SM-5N9ET
GTEX-13PLJ	GTEX-13PLJ-0005-SM-5NQ99
GTEX-13S7M	GTEX-13S7M-0005-SM-5NQ76
GTEX-13S86	GTEX-13S86-0005-SM-5NQ7I
GTEX-13SLX	GTEX-13SLX-0005-SM-CM2RF
GTEX-13U4I	GTEX-13U4I-0006-SM-5N9CI
GTEX-13VXT	GTEX-13VXT-0005-SM-5N9F3
GTEX-13VXU	GTEX-13VXU-0006-SM-5N9FF
GTEX-13W3W	GTEX-13W3W-0005-SM-5SI9Y
GTEX-1477Z	GTEX-1477Z-0005-SM-5PNWD
GTEX-147F3	GTEX-147F3-0005-SM-5N9FI
GTEX-147F4	GTEX-147F4-0006-SM-5O99T
GTEX-147GR	GTEX-147GR-0005-SM-5NQAO
GTEX-147JS	GTEX-147JS-0006-SM-5NQ7K
GTEX-148VI	GTEX-148VI-0006-SM-5O9A6
GTEX-148VJ	GTEX-148VJ-0006-SM-5NQB1
GTEX-1497J	GTEX-1497J-0005-SM-5NQBD
GTEX-14A5H	GTEX-14A5H-0006-SM-5O9AI
GTEX-14A6H	GTEX-14A6H-0006-SM-5NQ7W
GTEX-14ABY	GTEX-14ABY-0005-SM-5O99U
GTEX-14AS3	GTEX-14AS3-0006-SM-5NQC2
GTEX-14B4R	GTEX-14B4R-0006-SM-5O9A7
GTEX-14BIL	GTEX-14BIL-0006-SM-5N9F2
GTEX-14BIM	GTEX-14BIM-0006-SM-5O9AA
GTEX-14BIN	GTEX-14BIN-0005-SM-5N9FE
GTEX-14BMU	GTEX-14BMU-0006-SM-5MR3T
GTEX-14BMV	GTEX-14BMV-0005-SM-5NQ6Y
GTEX-14C38	GTEX-14C38-0006-SM-5NQBF
GTEX-14C39	GTEX-14C39-0005-SM-5NQBR
GTEX-14C5O	GTEX-14C5O-0005-SM-5P9ER
